Centrality Measure,PCA Component (Corona)
closeness,0.3180266152291398
harmonic,0.32466725053398937
degree,0.20678148899587842
decay,0.3178957774587796
eccentricity,-0.12133303945256418
radiality,0.30202947101857586
load,0.21632765618664151
approx_current_flow_betweenness,0.21528619446828312
betweenness,0.21625162096148248
current_flow_closeness,0.2847281157566974
information,0.2847281157566974
current_flow_betweenness,0.21826271343306994
reach,0.3246672505339846
deep_reach,0.29764447200489347
